Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module,Weekday,Daytime,Start Time,End Time
Angewandte Ethik (Vertiefung) (Halbig),160-509a,Selbststudium mit Leistungsnachweis,Christoph Halbig,German,Applied ethics (advanced),N/A,N/A,N/A,N/A
Angewandte Ethik (Vertiefung) (Reichling),160-509a,Selbststudium mit Leistungsnachweis,Philipp Reichling,German,Applied ethics (advanced),N/A,N/A,N/A,N/A
Politische Philosophie (Vertiefung) (Page),160-510a,Selbststudium mit Leistungsnachweis,Jennifer Page,German,Political philosophy (advanced),N/A,N/A,N/A,N/A
Politische Philosophie (Vertiefung) (Bieber),160-510a,Selbststudium mit Leistungsnachweis,Friedemann Rudolf Herbert Bieber,German,Political philosophy (advanced),N/A,N/A,N/A,N/A
Politische Philosophie (Vertiefung) (Baer),160-510a,Selbststudium mit Leistungsnachweis,Josette Baer Hill,German,Political philosophy (advanced),N/A,N/A,N/A,N/A
Politische Philosophie (Vertiefung) (Reichling),160-510a,Selbststudium mit Leistungsnachweis,Philipp Reichling,German,Political philosophy (advanced),N/A,N/A,N/A,N/A
Metaphysik (Vertiefung) (Glock),160-511a,Selbststudium mit Leistungsnachweis,Hans-Johann Glock,German,Metaphysics (advanced),N/A,N/A,N/A,N/A
Metaphysik (Vertiefung) (Meylan),160-511a,Selbststudium mit Leistungsnachweis,Anne Meylan,German,Metaphysics (advanced),N/A,N/A,N/A,N/A
Metaphysik (Vertiefung) (Saporiti),160-511a,Selbststudium mit Leistungsnachweis,Katia Saporiti,German,Metaphysics (advanced),N/A,N/A,N/A,N/A
Metaphysik (Vertiefung) (Halbig),160-511a,Selbststudium mit Leistungsnachweis,Christoph Halbig,German,Metaphysics (advanced),N/A,N/A,N/A,N/A
Master Thesis in Paleontology,BIO512,Master Paper,"Gabriel Aguirre Fernandez, Hugo Bucher, Jorge Carrillo Briceno, Michael Hautmann, Christian Klug, Catalina Pimiento Hernandez, Marcelo R. Sanchez, Torsten Scheyer, Elke Schneebeli",German,BIO 512 Master Thesis in Paleontology,N/A,N/A,N/A,N/A
Paleontological Colloquium,BIO571,Colloquium,Torsten Scheyer,German,BIO 571 Paleontological Colloquium,N/A,N/A,N/A,N/A
Research Internship in Paleontology (in the research groups 4- 12 weeks),BIO269,Praktikum,"Gabriel Aguirre Fernandez, Hugo Bucher, Jorge Carrillo Briceno, Michael Hautmann, Christian Klug, Catalina Pimiento Hernandez, Marcelo R. Sanchez, Torsten Scheyer, Elke Schneebeli",German,BIO 269 Research Internship in Paleontology (in the research groups 4- 12 weeks),N/A,N/A,N/A,N/A
