Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module
"GGP.S480 Globale Herausforderungen, Vertiefung II, Geographie, Gruppe B",GEO906.1,PHZH SEK I Module,Itta Bauer,German,"GGP.S480 Global Challenges, Consolidation II in Geography"
Bachelorarbeit mit Feldarbeit,ESS388.1,Student Work,Michael W.I. Schmidt,German,ESS 388 Bachelor Thesis with Field/Lab Work
GEO 510 Masterarbeit,GEO510.1,Student Work,Michael W.I. Schmidt,German,GEO 510 Master Thesis
Masterarbeit,ESS510.1,Student Work,Michael W.I. Schmidt,German,ESS 510 Master Thesis
Research Colloquium Social and Cultural Geography (for MSc and PhD Students),GEODIPL,Colloquium,Hanna Hilbrandt,German,GEO 511 Master Thesis
Introduction to Physical Oceanography,ESS379.1,Lecture with Practical Exercises,N/A,English,ESS 379 Introduction to Physical Oceanography
Introduction to Physical Oceanography; Exercise,ESS379.2,Lecture with Practical Exercises,N/A,German,ESS 379 Introduction to Physical Oceanography
GIS for Environmental Indicators,GEO888.1,Lecture with Practical Exercises,Ross Stuart Purves,English,GEO 888 GIS for Environmental Monitoring
Global Economic Geographies Field Trip,GEO433.2,Seminar,Christian Berndt,"English, German",GEO 433 Global Economic Geographies of Agriculture and Food Systems
Earth System Modelling,ESS416.1,Seminar,Gabriela Schaepman-Strub,English,ESS 416 Earth System Modelling
Field studies on high mountain processes: Field course,GEO411.2,Practical Training,Andreas Vieli,English,GEO 411 Field studies on high mountain processes
"GGP.S440 Geographie Grundkurs II, Vorlesung und Übungen für Sekundarlehramt, Gruppe",AGEO901.1,PHZH SEK I Module,Holger Rudolf Frey,German,GGP.S440 Basics in Geography II
"GGP.S440 Geographie Grundkurs II, Vorlesung und Übungen für Sekundarlehramt, Gruppe",BGEO901.1,PHZH SEK I Module,Holger Rudolf Frey,German,GGP.S440 Basics in Geography II
